"symptom","category","subcategory","question","question_korean","id","source","is_relevant","labeler"
"양쪽 원발성 무릎관절증","Details of the complaint","associated symptoms","Have you noticed any swelling or stiffness in your knees?","무릎에 부종이나 뻣뻣함을 느꼈던 적이 있습니까?",1,"gpt-4-turbo",NA,NA
"양쪽 원발성 무릎관절증","Details of the complaint","severity","On a scale from 1 to 10, how would you rate your knee pain?","1에서 10까지의 척도로 무릎 통증을 어떻게 평가하시겠습니까?",2,"gpt-4-turbo",NA,NA
"양쪽 원발성 무릎관절증","Details of the complaint","timing","Is your knee pain worse in the morning, or does it increase throughout the day?","무릎 통증은 아침에 더 심한가요, 아니면 하루 종일 증가하나요?",3,"gpt-4-turbo",NA,NA
"양쪽 원발성 무릎관절증","Details of the complaint","aggravating factors","Does activity or rest worsen your knee pain?","활동이나 휴식이 무릎 통증을 악화시키나요?",4,"gpt-4-turbo",NA,NA
"양쪽 원발성 무릎관절증","Review of systems","mobility","Has your ability to walk or climb stairs changed recently?","최근에 걷거나 계단을 오르는 능력에 변화가 있었습니까?",5,"gpt-4-turbo",NA,NA
"상세불명의 기관지 또는 폐의 악성 신생물, 오른쪽 C3490","Details of the complaint","timing","Have you experienced any recent changes in your cough?","최근에 기침 패턴에 변화가 있었습니까?",6,"gpt-4-turbo",NA,NA
"상세불명의 기관지 또는 폐의 악성 신생물, 오른쪽 C3490","Details of the complaint","severity","How severe is the pain in your chest, if any?","가슴 통증이 있다면, 그 정도는 어느 정도입니까?",7,"gpt-4-turbo",NA,NA
"상세불명의 기관지 또는 폐의 악성 신생물, 오른쪽 C3490","Associated symptoms","respiratory","Have you noticed any shortness of breath?","호흡곤란을 느낀 적이 있습니까?",8,"gpt-4-turbo",NA,NA
"상세불명의 기관지 또는 폐의 악성 신생물, 오른쪽 C3490","Associated symptoms","weight loss","Have you experienced any unintentional weight loss recently?","최근에 의도하지 않은 체중 감소가 있었습니까?",9,"gpt-4-turbo",NA,NA
"상세불명의 기관지 또는 폐의 악성 신생물, 오른쪽 C3490","Review of systems","general health","Have you felt unusually tired or fatigued?","평소보다 피로하거나 지친 느낌이 있었습니까?",10,"gpt-4-turbo",NA,NA
"상세불명의 기관지 또는 폐의 악성 신생물, 오른쪽 C3490","Review of systems","fever","Have you had any episodes of fever?","열이 나는 증상이 있었습니까?",11,"gpt-4-turbo",NA,NA
"양안 정상안압 녹내장","Details of the complaint","vision quality","Have you experienced any gradual loss of peripheral vision?","시간이 지남에 따라 주변 시야 상실을 경험하셨습니까?",12,"gpt-4-turbo",NA,NA
"양안 정상안압 녹내장","Details of the complaint","vision changes","Have you noticed any blurred or hazy vision?","시야가 흐리거나 안개가 낀 것처럼 느껴진 적이 있습니까?",13,"gpt-4-turbo",NA,NA
"양안 정상안압 녹내장","Review of systems","eye pain","Do you experience frequent headaches or pain around your eyes?","두통이 자주 있거나 눈 주위에 통증을 느끼신 적이 있습니까?",14,"gpt-4-turbo",NA,NA
"양안 정상안압 녹내장","Review of systems","night vision","Have you faced difficulties seeing in low light or at night?","저조도나 야간에 시력이 약해지는 것을 느끼셨습니까?",15,"gpt-4-turbo",NA,NA
"양안 정상안압 녹내장","Review of systems","eye strain","Do you experience any strain or tiredness in your eyes after reading or using screens?","독서나 화면 사용 후 눈의 피로나 긴장을 느낀 적이 있습니까?",16,"gpt-4-turbo",NA,NA
"난소의 양성 신생물, 상세불명","Details of the complaint","location","Do you feel pain or discomfort in any specific area of your abdomen or pelvis?","복부 또는 골반의 특정 부위에서 통증이나 불편함을 느끼십니까?",17,"gpt-4-turbo",NA,NA
"난소의 양성 신생물, 상세불명","Details of the complaint","severity","How would you rate the severity of your abdominal or pelvic discomfort on a scale from 1 to 10?","1에서 10까지의 척도에서 복부 또는 골반의 불편함 정도를 어떻게 평가하시겠습니까?",18,"gpt-4-turbo",NA,NA
"난소의 양성 신생물, 상세불명","Details of the complaint","timing","Is the discomfort constant, or does it come and go?","불편함이 지속되거나 왔다 갔다 합니까?",19,"gpt-4-turbo",NA,NA
"난소의 양성 신생물, 상세불명","Details of the complaint","aggravating factors","Are there any specific activities or factors that increase your pain or discomfort?","통증이나 불편함을 증가시키는 특정 활동이나 요인이 있습니까?",20,"gpt-4-turbo",NA,NA
"난소의 양성 신생물, 상세불명","Details of the complaint","associated symptoms","Have you experienced any unusual vaginal bleeding or discharge?","평소와 다른 질 출혈이나 분비물이 있었습니까?",21,"gpt-4-turbo",NA,NA
"난소의 양성 신생물, 상세불명","Review of systems","gastrointestinal","Have you noticed any changes in your bowel habits or urinary frequency?","배변 습관이나 소변 빈도에 변화가 있었습니까?",22,"gpt-4-turbo",NA,NA
"난소의 양성 신생물, 상세불명","Review of systems","weight changes","Have you experienced any unexpected weight gain or loss?","예상치 못한 체중 증가나 감소가 있었습니까?",23,"gpt-4-turbo",NA,NA
"난소의 양성 신생물, 상세불명","Review of systems","general health","Have you felt unusually fatigued or had difficulty with daily activities?","평소보다 피로감을 느끼거나 일상 활동을 하는데 어려움이 있었습니까?",24,"gpt-4-turbo",NA,NA
"상세불명 원인의 앨러지성 접촉피부염 L239, 앨러지성 두드러기 L500","Details of the complaint","location","Where exactly on your body do these skin reactions occur?","피부 반응이 몸의 정확히 어느 부분에서 발생합니까?",25,"gpt-4-turbo",NA,NA
"상세불명 원인의 앨러지성 접촉피부염 L239, 앨러지성 두드러기 L500","Details of the complaint","severity","How severe are your symptoms on a scale of 1 to 10?","증상의 심각성을 1에서 10 사이의 척도로 어떻게 평가하십니까?",26,"gpt-4-turbo",NA,NA
"상세불명 원인의 앨러지성 접촉피부염 L239, 앨러지성 두드러기 L500","Details of the complaint","aggravating factors","Have you noticed anything that worsens your skin condition?","피부 상태를 악화시키는 것이 있었다면 무엇입니까?",27,"gpt-4-turbo",NA,NA
"상세불명 원인의 앨러지성 접촉피부염 L239, 앨러지성 두드러기 L500","Details of the complaint","timing","When do you typically notice the onset of symptoms?","증상이 일반적으로 언제 나타납니까?",28,"gpt-4-turbo",NA,NA
"상세불명 원인의 앨러지성 접촉피부염 L239, 앨러지성 두드러기 L500","Details of the complaint","associated symptoms","Do you experience itching or burning along with the rashes?","발진과 함께 가려움증이나 화끈거림을 경험하십니까?",29,"gpt-4-turbo",NA,NA
"상세불명 원인의 앨러지성 접촉피부염 L239, 앨러지성 두드러기 L500","Review of systems","skin","Have you noticed any changes in the color or texture of your skin?","피부의 색깔이나 질감에 변화가 있었습니까?",30,"gpt-4-turbo",NA,NA
"상세불명 원인의 앨러지성 접촉피부염 L239, 앨러지성 두드러기 L500","Review of systems","additional skin symptoms","Apart from the rashes and hives, have you had any other skin issues, like peeling or dryness?","발진과 두드러기 외에도 벗겨짐이나 건조 같은 다른 피부 문제가 있었습니까?",31,"gpt-4-turbo",NA,NA
"만성 단순태선","Details of the complaint","location","Where is the itching most severe?","가려움증이 가장 심한 부위는 어디입니까?",32,"gpt-4-turbo",NA,NA
"만성 단순태선","Details of the complaint","aggravating factors","Are there specific factors that increase your itching?","가려움증을 증가시키는 특정 요인이 있습니까?",33,"gpt-4-turbo",NA,NA
"만성 단순태선","Details of the complaint","associated symptoms","Have you noticed any changes in the color or texture of your skin where it itches?","가려운 부위의 피부 색상이나 질감에 변화가 있었습니까?",34,"gpt-4-turbo",NA,NA
"만성 단순태선","Review of systems","skin","Do you have any secondary skin lesions, like lichenification or pigmentation?","단단해지거나 착색과 같은 이차 피부 병변이 있습니까?",35,"gpt-4-turbo",NA,NA
"만성 단순태선","Allergies","environmental","Are you aware of any environmental allergies that might be contributing to your condition?","상태에 기여할 수 있는 환경 알레르기가 있습니까?",36,"gpt-4-turbo",NA,NA
"구불결장의 악성 신생물 C18.7","Details of the complaint","timing","When did you first notice symptoms related to your condition?","당신의 상태와 관련된 증상을 처음으로 언제 알아차렸습니까?",37,"gpt-4-turbo",NA,NA
"구불결장의 악성 신생물 C18.7","Details of the complaint","severity","How severe are your symptoms on a scale of 1 to 10?","당신의 증상이 1에서 10까지의 척도에서 얼마나 심합니까?",38,"gpt-4-turbo",NA,NA
"구불결장의 악성 신생물 C18.7","Review of systems","digestive","Have you experienced any changes in bowel habits or consistency of stool?","배변 습관이나 변의 일관성에 변화가 있었습니까?",39,"gpt-4-turbo",NA,NA
"구불결장의 악성 신생물 C18.7","Review of systems","weight","Have you experienced any unintentional weight loss recently?","최근에 의도하지 않은 체중 감소를 경험했습니까?",40,"gpt-4-turbo",NA,NA
"구불결장의 악성 신생물 C18.7","Review of systems","abdominal pain","Do you experience any abdominal pain? If so, can you describe its location and nature?","복통을 경험하고 있습니까? 그렇다면 그 위치와 성질을 설명해 주실 수 있습니까?",41,"gpt-4-turbo",NA,NA
"구불결장의 악성 신생물 C18.7","Review of systems","fatigue","Have you felt unusually tired or fatigued lately?","최근에 평소보다 피곤하거나 지쳤다고 느낀 적이 있습니까?",42,"gpt-4-turbo",NA,NA
"구불결장의 악성 신생물 C18.7","Review of systems","nausea or vomiting","Have you had any nausea or vomiting?","구역질이나 구토가 있었습니까?",43,"gpt-4-turbo",NA,NA
"구불결장의 악성 신생물 C18.7","Review of systems","blood in stool","Have you noticed any blood in your stool?","변에 혈흔을 발견한 적이 있습니까?",44,"gpt-4-turbo",NA,NA
"류마티스인자 양성(91.7)","Details of the complaint","severity","How severe is the pain or discomfort you are experiencing?","당신이 경험하고 있는 통증이나 불편함은 얼마나 심합니까?",45,"gpt-4-turbo",NA,NA
"류마티스인자 양성(91.7)","Details of the complaint","timing","Is the pain or discomfort constant, or does it come and go?","통증이나 불편함이 지속되는 것입니까, 아니면 오락가락 합니까?",46,"gpt-4-turbo",NA,NA
"류마티스인자 양성(91.7)","Details of the complaint","aggravating factors","Are there specific activities or conditions that worsen your symptoms?","증상을 악화시키는 특정 활동이나 조건이 있습니까?",47,"gpt-4-turbo",NA,NA
"류마티스인자 양성(91.7)","Review of systems","joint function","Have you noticed any difficulties in joint movements?","관절 움직임에 어려움을 느낀 적이 있습니까?",48,"gpt-4-turbo",NA,NA
"류마티스인자 양성(91.7)","Review of systems","general well-being","Have you experienced recent fatigue or malaise?","최근에 피로하거나 몸살을 느낀 적이 있습니까?",49,"gpt-4-turbo",NA,NA
"류마티스인자 양성(91.7)","Review of systems","skin","Have you noticed any unusual redness, rashes, or other changes in your skin?","피부에 이상한 홍조, 발진 또는 기타 변화를 눈치챈 적이 있습니까?",50,"gpt-4-turbo",NA,NA
"상세불명의 간질환 분류기호 K769","Details of the complaint","severity","How severe is your abdominal pain on a scale of 1 to 10?","복통의 심각성을 1부터 10까지의 척도로 얼마나 심합니까?",51,"gpt-4-turbo",NA,NA
"상세불명의 간질환 분류기호 K769","Details of the complaint","timing","Do you experience increased abdominal pain after eating?","식사 후 복통이 증가하나요?",52,"gpt-4-turbo",NA,NA
"상세불명의 간질환 분류기호 K769","Details of the complaint","associated symptoms","Have you noticed any yellowing of your skin or eyes?","피부 또는 눈의 황변을 눈치챘습니까?",53,"gpt-4-turbo",NA,NA
"상세불명의 간질환 분류기호 K769","Review of systems","general symptoms","Have you experienced any unusual itching?","평소와 다른 가려움증을 경험하셨습니까?",54,"gpt-4-turbo",NA,NA
"상세불명의 간질환 분류기호 K769","Review of systems","digestive system","Have there been any changes in the color of your stool?","대변 색상에 변화가 있었나요?",55,"gpt-4-turbo",NA,NA
"상세불명의 간질환 분류기호 K769","Review of systems","digestive system","Have you noticed any unusual bruising or bleeding?","평소와 다른 멍이나 출혈을 경험하셨습니까?",56,"gpt-4-turbo",NA,NA
"상세불명의 간질환 분류기호 K769","Lifestyle details","alcohol use","How often and how much alcohol do you consume?","얼마나 자주 얼마나 많은 양의 알코올을 섭취하십니까?",57,"gpt-4-turbo",NA,NA
"상세불명의 간질환 분류기호 K769","Past medical and surgical history","liver-related conditions","Have you had any previous liver disorders or surgeries related to your liver?","과거에 간 질환 또는 간과 관련된 수술을 받은 적이 있습니까?",58,"gpt-4-turbo",NA,NA
"요추 추간판탈출증(의증) M4726, 건인대염, 고관절, 좌 M6585","Details of the complaint","location","Can you pinpoint where in the lower back or hip you feel the discomfort?","허리나 고관절 중 어디에 불편함을 느끼시나요?",59,"gpt-4-turbo",NA,NA
"요추 추간판탈출증(의증) M4726, 건인대염, 고관절, 좌 M6585","Details of the complaint","severity","How severe is your pain on a scale from 1 to 10?","1에서 10까지의 척도로, 아픔의 강도를 얼마나 느끼시나요?",60,"gpt-4-turbo",NA,NA
"요추 추간판탈출증(의증) M4726, 건인대염, 고관절, 좌 M6585","Details of the complaint","timing","Does the pain worsen at any particular time of day or during certain activities?","하루 중 특정 시간이나 특정 활동을 할 때 통증이 더 심해집니까?",61,"gpt-4-turbo",NA,NA
"요추 추간판탈출증(의증) M4726, 건인대염, 고관절, 좌 M6585","Details of the complaint","aggravating factors","Are there any specific movements that exacerbate your hip or back pain?","고관절이나 등 통증을 악화시키는 특정 동작이 있으신가요?",62,"gpt-4-turbo",NA,NA
"요추 추간판탈출증(의증) M4726, 건인대염, 고관절, 좌 M6585","Details of the complaint","associated symptoms","Do you experience any numbness or tingling along with the pain?","통증과 함께 저림이나 감각이상을 느끼시나요?",63,"gpt-4-turbo",NA,NA
"요추 추간판탈출증(의증) M4726, 건인대염, 고관절, 좌 M6585","Review of systems","mobility","Has there been a recent change in your ability to walk or your range of motion in the hip?","최근에 걷기 능력이나 고관절의 움직임 범위에 변화가 있었나요?",64,"gpt-4-turbo",NA,NA
"요추 추간판탈출증(의증) M4726, 건인대염, 고관절, 좌 M6585","Review of systems","neurological","Have you noticed any changes in bowel or bladder control?","배변이나 배뇨 제어에 변화를 느끼셨나요?",65,"gpt-4-turbo",NA,NA
"외측 상과염[좌측], 분류기호 M771, 기타 관절의 일차성 관절증 M190","Details of the complaint","location","Do you feel pain specifically on the outer side of your left elbow?","왼쪽 팔꿈치의 바깥쪽에 특정하게 통증을 느끼십니까?",66,"gpt-4-turbo",NA,NA
"외측 상과염[좌측], 분류기호 M771, 기타 관절의 일차성 관절증 M190","Details of the complaint","severity","How severe is the pain in your elbow on a scale from 1 to 10?","1에서 10 사이의 척도로 팔꿈치의 통증이 얼마나 심하십니까?",67,"gpt-4-turbo",NA,NA
"외측 상과염[좌측], 분류기호 M771, 기타 관절의 일차성 관절증 M190","Details of the complaint","timing","Does the pain in your elbow worsen with specific movements or at certain times of the day?","팔꿈치의 통증이 특정 움직임이나 하루 중 특정 시간에 악화되나요?",68,"gpt-4-turbo",NA,NA
"외측 상과염[좌측], 분류기호 M771, 기타 관절의 일차성 관절증 M190","Details of the complaint","associated symptoms","Have you experienced any numbness or tingling sensations in your elbow or hand?","팔꿈치나 손에 저림이나 따끔거림 같은 감각을 경험한 적이 있습니까?",69,"gpt-4-turbo",NA,NA
"외측 상과염[좌측], 분류기호 M771, 기타 관절의 일차성 관절증 M190","Past medical history","related conditions","Have you previously been diagnosed with any other elbow or joint conditions?","이전에 팔꿈치나 다른 관절 질환에 대해 진단 받은 적이 있습니까?",70,"gpt-4-turbo",NA,NA
"외측 상과염[좌측], 분류기호 M771, 기타 관절의 일차성 관절증 M190","Review of systems","mobility","Has there been a decrease in the range of motion in your elbow or other joints?","팔꿈치나 다른 관절의 운동 범위가 감소한 적이 있습니까?",71,"gpt-4-turbo",NA,NA
